close,high,low
897.45,897.9,883.9
903.5,905.2,895.65
906.7,907.9,901.95
908,910,906
911.95,912.5,907.35
914.9,915.6,910
915.9,917.7,914.4
916.5,917.05,911.15
915.75,917.5,914.95
912.35,915.75,912
908.9,913.6,907
909.9,910,906
911,912.95,909.4
910.45,912,909.1
908.85,910,907.5
910.6,912,908.05
911,912,910
910,912,908
909.5,911.05,909.3
911.45,912,909.5
911.95,912.45,910.6
912.2,912.5,910.85
917.4,917.7,911.05
915,917.4,914.55
914,915.8,913.5
913.7,915.9,913.6
915.1,915.65,913.8
915.55,916,914.35
920.85,921.55,915.45
924.6,926.15,919.5
922,924.9,921.8
920.75,923.35,920.5
919,920.75,918.2
920,920.9,919
920.5,921.3,919.7
917.9,921.1,917.9
913.8,918.05,912.4
914.2,915.6,913
918.65,918.8,913.5
918,919.5,918
918.4,919.15,918
918.6,918.9,915.2
919,920,917.15
918.4,919.25,917.85
918.1,918.9,917.75
918.6,919.05,918
919.2,919.75,918
919,920.5,918.6
918.65,919.35,918.4
918.35,919,918
919,919.5,918
917.3,919.15,917
919.45,919.7,917
921.5,922,918.95
920.05,925.2,919.15
920.05,922.5,918.05
916.55,920.2,913.95
916.8,920.7,916.45
918.4,919.65,916.5
918.5,920,918.05
916.2,919.45,916
914,917,912.45
915,917.5,914.2
915.35,916,914.3
913.85,916,913.75
911.65,914.5,910.7
914.55,915,911.55
916.2,917.5,914.35
913.65,916.9,912.7
909.15,913.7,908.3
906,909,904.5
905.85,908.2,905.85
906.65,906.9,904
907.7,907.8,905.45
909.5,909.5,906.7
917.45,920.1,909.05
921.85,925.7,917.05
923,927.85,922.25
919.75,924.55,918.6
919.9,920.5,917.5
917.25,920.55,914.95
917.9,918,916
919.55,920,916.35
918.9,919.8,918
919,919,918
918.65,919.45,918.4
918.5,918.95,917.95
918.9,919.8,918
918.95,919.15,918.55
919,919,918
919,919.2,918
922,922,918.65
921.35,923.65,920.5
920.8,922,920.55
920.2,921,919.35
920,920.75,918.95
920.5,921,920
920.95,921,920
920.3,921,919.55
919.7,920.8,919
920.25,920.95,919
918.7,921,918.6
919.4,920,917.7
918.85,921.6,918.5
918,919.3,916.6
916.3,918.45,916.3
917,918,916
917,917.1,916
