close,high
897.45,897.9
903.5,905.2
906.7,907.9
908,910
911.95,912.5
914.9,915.6
915.9,917.7
916.5,917.05
915.75,917.5
912.35,915.75
908.9,913.6
909.9,910
911,912.95
910.45,912
908.85,910
910.6,912
911,912
910,912
909.5,911.05
911.45,912
911.95,912.45
912.2,912.5
917.4,917.7
915,917.4
914,915.8
913.7,915.9
915.1,915.65
915.55,916
920.85,921.55
924.6,926.15
922,924.9
920.75,923.35
919,920.75
920,920.9
920.5,921.3
917.9,921.1
913.8,918.05
914.2,915.6
918.65,918.8
918,919.5
918.4,919.15
918.6,918.9
919,920
918.4,919.25
918.1,918.9
918.6,919.05
919.2,919.75
919,920.5
918.65,919.35
918.35,919
919,919.5
917.3,919.15
919.45,919.7
921.5,922
920.05,925.2
920.05,922.5
916.55,920.2
916.8,920.7
918.4,919.65
918.5,920
916.2,919.45
914,917
915,917.5
915.35,916
913.85,916
911.65,914.5
914.55,915
916.2,917.5
913.65,916.9
909.15,913.7
906,909
905.85,908.2
906.65,906.9
907.7,907.8
909.5,909.5
917.45,920.1
921.85,925.7
923,927.85
919.75,924.55
919.9,920.5
917.25,920.55
917.9,918
919.55,920
918.9,919.8
919,919
918.65,919.45
918.5,918.95
918.9,919.8
918.95,919.15
919,919
919,919.2
922,922
921.35,923.65
920.8,922
920.2,921
920,920.75
920.5,921
920.95,921
920.3,921
919.7,920.8
920.25,920.95
918.7,921
919.4,920
918.85,921.6
918,919.3
916.3,918.45
917,918
917,917.1
