Periode,Daging Ayam Ras Segar
1,
2,"35,150"
3,"35,700"
4,"35,450"
5,"33,550"
6,"34,300"
7,"34,100"
8,"33,300"
9,"32,400"
10,"32,650"
11,"34,050"
12,"35,000"
13,"34,600"
14,"33,950"
15,"34,600"
16,"34,650"
17,"34,800"
18,"34,650"
19,"36,100"
20,"37,550"
21,"38,850"
22,"37,700"
23,"37,300"
24,"40,050"
25,"45,150"
26,"39,250"
27,"37,200"
28,"38,600"
29,"40,800"
30,"40,900"
31,"39,450"
32,"36,700"
33,"36,050"
34,"36,550"
35,"35,550"
36,"33,750"
37,"33,650"
38,"33,100"
39,"31,800"
40,"31,600"
41,"33,600"
42,"34,400"
43,"33,600"
44,"33,200"
45,"32,850"
46,"33,050"
47,"33,500"
48,"34,300"
49,"35,200"
50,"35,200"
51,"36,450"
52,
53,"39,200"
54,"35,850"
55,"33,750"
56,"34,100"
57,"33,900"
58,"33,550"
59,"33,350"
60,"33,600"
61,"33,450"
62,"32,650"
63,"32,600"
64,"33,000"
65,"32,350"
66,"32,150"
67,"33,700"
68,"34,700"
69,"34,800"
70,"35,150"
71,"37,200"
72,"34,900"
73,"33,450"
74,"36,050"
75,"38,800"
76,"36,900"
77,"32,800"
78,"30,700"
79,"31,450"
80,"34,700"
81,"36,050"
82,"35,200"
83,"34,500"
84,"34,950"
85,"36,150"
86,"33,550"
87,"32,950"
88,"31,250"
89,"31,950"
90,"32,300"
91,"31,700"
92,"32,800"
93,"32,600"
94,"33,900"
95,"34,600"
96,"34,650"
97,"35,150"
98,"35,100"
99,"34,450"
100,"34,000"
101,"33,400"
102,"33,900"
103,"34,100"
104,"34,350"
105,"34,400"
106,"33,250"
107,"32,650"
108,"32,200"
109,"32,150"
110,"32,400"
111,"32,850"
112,"34,500"
113,"34,400"
114,"33,750"
115,"34,050"
116,"34,550"
117,"33,150"
118,"32,050"
119,"29,350"
120,"30,300"
121,"28,950"
122,"28,600"
123,"30,100"
124,"32,200"
125,"35,800"
126,
127,
128,"39,200"
129,"39,650"
130,"37,850"
131,"39,700"
132,"38,750"
133,"35,250"
134,"33,250"
135,"32,150"
136,"34,600"
137,"32,100"
138,
139,"30,700"
140,"30,200"
141,"31,800"
142,"29,650"
143,"31,100"
144,"29,400"
145,"30,850"
146,"30,500"
147,"31,450"
148,"32,200"
149,"33,850"
150,"34,600"
151,"34,900"
152,"34,550"
153,"34,000"
154,"33,850"
155,"35,500"
156,"35,500"
157,"35,450"
158,"34,950"
159,"35,250"
160,"34,900"
161,"34,850"
162,"33,550"
163,"34,400"
164,"34,850"
165,"33,900"
166,"34,200"
167,"34,700"
168,"35,050"
169,"34,850"
170,"35,050"
171,"37,850"
172,"40,950"
173,"39,850"
174,"37,300"
175,"37,800"
176,"38,900"
177,"40,250"
178,"36,850"
179,"35,950"
180,"34,800"
181,"35,950"
182,"35,200"
183,"33,650"
184,"32,700"
185,"32,150"
186,"32,300"
187,"30,200"
188,"31,200"
189,"33,000"
190,"32,750"
191,"31,900"
192,"33,450"
193,"34,400"
194,"34,100"
195,"33,150"
196,"33,450"
197,"33,100"
198,"34,550"
199,"34,200"
200,"34,650"
201,"34,250"
202,"34,350"
203,"34,400"
204,"34,050"
205,"34,250"
206,"35,450"
207,"35,900"
208,"36,350"
209,"37,150"
210,"37,850"
211,"38,400"
212,"39,200"
213,"38,500"
214,"36,150"
215,"34,500"
216,"34,150"
217,"33,300"
218,
219,"34,400"
220,"35,200"
221,"35,700"
222,"36,950"
223,"39,650"
224,"37,950"
225,"37,400"
226,"39,900"
227,
228,"40,150"
229,
230,"34,500"
231,"35,900"
232,"38,300"
233,"38,350"
234,"36,350"
235,"36,700"
236,"36,550"
237,"39,650"
238,"36,850"
239,"37,700"
240,"36,700"
241,"34,550"
242,"34,450"
243,"36,150"
244,"35,300"
245,"35,050"
246,"34,850"
247,"34,450"
248,"34,350"
249,"33,450"
250,"33,300"
251,"32,700"
252,"33,000"
253,"33,800"
254,"33,600"
255,"33,550"
256,"34,150"
257,"33,550"
258,"33,400"
259,"34,650"
260,"35,950"
261,"36,550"
