Date,Average
1/1/2021,95
1/2/2021,95
1/3/2021,95
1/4/2021,95
1/5/2021,95
1/6/2021,95
1/7/2021,95
1/8/2021,95
1/9/2021,95
1/10/2021,95
1/11/2021,95
1/12/2021,95
1/13/2021,105
1/14/2021,95
1/15/2021,95
1/16/2021,95
1/17/2021,95
1/18/2021,95
1/19/2021,95
1/20/2021,95
1/21/2021,95
1/22/2021,95
1/23/2021,95
1/24/2021,95
1/25/2021,95
1/26/2021,95
1/27/2021,95
1/28/2021,95
1/29/2021,95
1/30/2021,95
1/31/2021,95
2/1/2021,95
2/2/2021,115
2/3/2021,115
2/4/2021,95
2/5/2021,95
2/6/2021,95
2/7/2021,95
2/8/2021,95
2/9/2021,95
2/10/2021,95
2/11/2021,95
2/12/2021,95
2/13/2021,95
2/14/2021,95
2/15/2021,105
2/16/2021,105
2/17/2021,105
2/18/2021,95
2/19/2021,95
2/20/2021,105
2/21/2021,105
2/22/2021,105
2/23/2021,105
2/24/2021,105
2/25/2021,105
2/26/2021,105
2/27/2021,105
2/28/2021,105
3/1/2021,105
3/2/2021,95
3/3/2021,95
3/5/2021,95
3/6/2021,95
3/7/2021,95
3/8/2021,95
3/9/2021,85
3/10/2021,85
3/11/2021,85
3/12/2021,105
3/13/2021,105
3/14/2021,105
3/15/2021,105
3/16/2021,105
3/17/2021,105
3/18/2021,105
3/19/2021,105
3/20/2021,105
3/21/2021,105
3/22/2021,105
3/23/2021,105
3/24/2021,95
3/25/2021,95
3/26/2021,95
3/27/2021,95
3/28/2021,95
3/29/2021,95
3/30/2021,95
3/31/2021,105
4/1/2021,105
4/2/2021,105
4/3/2021,115
4/4/2021,110
4/5/2021,115
4/6/2021,115
4/7/2021,115
4/8/2021,115
4/9/2021,115
4/10/2021,115
4/11/2021,115
4/12/2021,115
4/13/2021,115
4/14/2021,115
4/15/2021,115
4/16/2021,115
4/17/2021,115
4/18/2021,115
4/19/2021,115
4/20/2021,115
4/21/2021,115
4/22/2021,115
4/23/2021,115
4/24/2021,115
4/25/2021,115
4/26/2021,115
4/27/2021,115
4/28/2021,115
4/29/2021,115
4/30/2021,115
5/1/2021,115
5/2/2021,115
5/3/2021,105
5/4/2021,105
5/5/2021,105
5/6/2021,95
5/7/2021,95
5/8/2021,105
5/9/2021,105
5/10/2021,95
5/11/2021,95
5/12/2021,105
5/13/2021,105
