Date,Average
6/16/2013,75
6/17/2013,75
6/18/2013,75
6/19/2013,75
6/20/2013,75
6/21/2013,75
6/25/2013,65
6/26/2013,65
6/27/2013,55
6/28/2013,55
6/30/2013,45
7/1/2013,45
7/2/2013,45
7/3/2013,45
7/4/2013,45
7/5/2013,45
7/9/2013,45
7/10/2013,55
7/11/2013,55
7/12/2013,55
7/14/2013,45
7/15/2013,45
7/16/2013,55
7/17/2013,55
7/18/2013,55
7/19/2013,55
7/21/2013,55
7/22/2013,55
7/23/2013,55
7/24/2013,55
7/25/2013,55
7/26/2013,55
7/28/2013,55
7/29/2013,55
7/30/2013,55
7/31/2013,55
8/1/2013,55
8/2/2013,55
8/4/2013,55
8/5/2013,55
8/6/2013,55
8/7/2013,55
8/8/2013,55
8/13/2013,45
8/14/2013,55
8/15/2013,55
8/16/2013,55
8/18/2013,55
8/19/2013,55
8/20/2013,65
8/23/2013,55
8/25/2013,55
8/26/2013,55
8/27/2013,55
8/29/2013,55
8/30/2013,55
9/1/2013,55
9/2/2013,55
9/3/2013,55
9/4/2013,65
9/5/2013,65
9/6/2013,65
9/8/2013,55
9/9/2013,55
9/10/2013,55
9/11/2013,55
9/12/2013,55
9/13/2013,55
9/15/2013,55
9/16/2013,55
9/17/2013,55
9/19/2013,55
9/20/2013,55
9/22/2013,55
9/23/2013,55
9/24/2013,52.5
9/25/2013,55
9/26/2013,47.5
9/27/2013,47.5
9/29/2013,47.5
9/30/2013,47.5
10/1/2013,47.5
10/2/2013,47.5
10/3/2013,47.5
10/4/2013,45
10/6/2013,45
10/7/2013,55
10/8/2013,55
10/9/2013,55
10/10/2013,55
10/11/2013,55
10/12/2013,55
10/13/2013,65
10/14/2013,65
10/15/2013,55
10/16/2013,55
10/17/2013,55
10/20/2013,55
10/21/2013,55
10/22/2013,55
10/23/2013,55
10/24/2013,55
10/25/2013,55
10/27/2013,55
10/28/2013,55
10/29/2013,55
10/30/2013,55
10/31/2013,55
11/1/2013,55
11/3/2013,57.5
11/4/2013,55
11/5/2013,55
11/6/2013,55
11/7/2013,55
11/10/2013,55
11/11/2013,55
11/12/2013,55
11/13/2013,55
11/14/2013,55
11/15/2013,55
11/16/2013,55
11/17/2013,62.5
11/18/2013,62.5
11/20/2013,57.5
